No.,Timestamp,Sequence Number,Attribute,Status,Data Type,Data Value
1,1777909512,132,Active Power,Success,16-Bit Signed Integer,0
2,1777909512,132,RMS Current,Success,16-Bit Unsigned Integer,0
3,1777909512,132,RMS Voltage,Success,16-Bit Unsigned Integer,219
4,1777909525,232,Active Power,Success,16-Bit Signed Integer,0
5,1777909525,232,RMS Current,Success,16-Bit Unsigned Integer,0
6,1777909525,232,RMS Voltage,Success,16-Bit Unsigned Integer,223
7,1777909535,73,Active Power,Success,16-Bit Signed Integer,0
8,1777909535,73,RMS Current,Success,16-Bit Unsigned Integer,0
9,1777909535,73,RMS Voltage,Success,16-Bit Unsigned Integer,218
10,1777909545,232,Active Power,Success,16-Bit Signed Integer,0
11,1777909545,232,RMS Current,Success,16-Bit Unsigned Integer,0
12,1777909545,232,RMS Voltage,Success,16-Bit Unsigned Integer,219
13,1777909548,116,Active Power,Success,16-Bit Signed Integer,0
14,1777909548,116,RMS Current,Success,16-Bit Unsigned Integer,0
15,1777909548,116,RMS Voltage,Success,16-Bit Unsigned Integer,222
16,1777909570,49,Active Power,Success,16-Bit Signed Integer,0
17,1777909570,49,RMS Current,Success,16-Bit Unsigned Integer,0
18,1777909570,49,RMS Voltage,Success,16-Bit Unsigned Integer,219
19,1777909581,243,Active Power,Success,16-Bit Signed Integer,0
20,1777909581,243,RMS Current,Success,16-Bit Unsigned Integer,0
21,1777909581,243,RMS Voltage,Success,16-Bit Unsigned Integer,219
